2354 : 4: 0.00 cm

2420 : LDir:  | LCount: 0 | RDir:  | RCount: 0
25637 : LDir: CCW | LCount: -3 | RDir: CCW | RCount: -7

25697 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

25833 : LDir: CW | LCount: -5 | RDir: CW | RCount: -3

25883 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

26006 : LDir: CW | LCount: 3 | RDir: CCW | RCount: -5

26059 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

26182 : LDir: CW | LCount: 6 | RDir: CCW | RCount: -5

26262 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

26364 : LDir: CW | LCount: 1 | RDir: CCW | RCount: -1

26445 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

26572 : LDir:  | LCount: 0 | RDir:  | RCount: 0

26620 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

26731 : LDir: CW | LCount: 6 | RDir: CCW | RCount: -6

26815 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

26921 : LDir: CW | LCount: 8 | RDir: CCW | RCount: -6

26967 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

27095 : LDir: CW | LCount: 6 | RDir: CCW | RCount: -8

27175 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

27289 : LDir: CW | LCount: 9 | RDir: CCW | RCount: -6

27338 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

27469 : LDir: CW | LCount: 6 | RDir: CCW | RCount: -8

27515 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

27646 : LDir: CCW | LCount: -5 | RDir: CW | RCount: 3

27694 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

27816 : LDir:  | LCount: 0 | RDir: CW | RCount: 1

27892 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

28007 : LDir:  | LCount: 0 | RDir:  | RCount: 0

28059 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

28205 : LDir: CCW | LCount: -5 | RDir: CW | RCount: 5

28264 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

28363 : LDir: CCW | LCount: -7 | RDir: CW | RCount: 7

28445 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

28555 : LDir: CW | LCount: -1 | RDir: CW | RCount: 8

28604 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

28748 : LDir: CCW | LCount: -6 | RDir: CW | RCount: 8

28809 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

28919 : LDir: CCW | LCount: -9 | RDir: CW | RCount: 8

28974 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

29109 : LDir: CW | LCount: 5 | RDir: CW | RCount: 7

29155 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

29290 : LDir: CW | LCount: 1 | RDir: CW | RCount: 1

29347 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

29479 : LDir:  | LCount: 0 | RDir:  | RCount: 0

29530 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

29662 : LDir: CW | LCount: 4 | RDir: CW | RCount: 7

29708 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

29824 : LDir: CW | LCount: 6 | RDir: CW | RCount: 7

29881 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

30001 : LDir: CW | LCount: 6 | RDir: CW | RCount: 9

30079 : S1: 0.00 cm | S2: 48.00 cm | S3: 0.00 cm | S4: 0.00 cm

30186 : LDir: CW | LCount: 9 | RDir: CW | RCount: 8

30249 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

30370 : LDir: CW | LCount: 8 | RDir: CW | RCount: 7

30423 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

30549 : LDir: CW | LCount: 9 | RDir: CW | RCount: 8

30614 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

30744 : LDir: CCW | LCount: -1 | RDir: CCW | RCount: 0

30791 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

30915 : LDir: CCW | LCount: -1 | RDir: CCW | RCount: -2

30964 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

31111 : LDir:  | LCount: 0 | RDir:  | RCount: 0

31162 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

31295 : LDir: CCW | LCount: -2 | RDir: CW | RCount: -3

31343 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

31467 : LDir: CCW | LCount: -6 | RDir: CW | RCount: -4

31527 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

31660 : LDir: CCW | LCount: -7 | RDir: CCW | RCount: -6

31709 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

31843 : LDir: CW | LCount: -7 | RDir: CCW | RCount: -6

31888 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

32015 : LDir: CCW | LCount: -7 | RDir: CCW | RCount: -6

32059 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

32191 : LDir: CCW | LCount: -6 | RDir: CCW | RCount: -8

32255 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

32364 : LDir: CW | LCount: 4 | RDir: CCW | RCount: -3

